obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""57.13""","=""57.14*""","=""2a""","=""""",,"=""0.000""","=""175010""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4s2.4p2.(1S)""","=""2D""","=""3/2""",,"=""""","=""L12180""",
"=""57.42""","=""57.41*""","=""0a""","=""""",,"=""826.190""","=""175010""","=""3d10.4s2.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4s2.4p2.(1S)""","=""2D""","=""3/2""",,"=""""","=""L12180""",
"=""58.49""","=""58.49*""","=""3a""","=""""",,"=""826.190""","=""171790""","=""3d10.4s2.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4s2.4p2.(1S)""","=""2D""","=""5/2""",,"=""""","=""L12180""",
"=""60.13""","=""60.22*""","=""7a""","=""""",,"=""0.000""","=""166050""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4s2.4p2.(1D)""","=""2D""","=""3/2""",,"=""""","=""L12180""",
"=""60.61""","=""60.52*""","=""14a""","=""""",,"=""826.190""","=""166050""","=""3d10.4s2.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4s2.4p2.(1D)""","=""2D""","=""3/2""",,"=""""","=""L12180""",
"=""60.98""","=""61.00*""","=""15a""","=""""",,"=""0.000""","=""163930""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4s2.4p2.(1D)""","=""2P""","=""1/2""",,"=""""","=""L12180""",
"=""61.33""","=""61.31*""","=""13a""","=""""",,"=""826.190""","=""163930""","=""3d10.4s2.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4s2.4p2.(1D)""","=""2P""","=""1/2""",,"=""""","=""L12180""",
"=""61.61""","=""61.61*""","=""7a""","=""""",,"=""826.190""","=""163140""","=""3d10.4s2.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4s2.4p2.(1D)""","=""2D""","=""5/2""",,"=""""","=""L12180""",
"=""61.86""","=""61.89*""","=""4a""","=""""",,"=""0.000""","=""161580""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4s2.4p2.(1D)""","=""2P""","=""3/2""",,"=""""","=""L12180""",
"=""62.24""","=""62.21*""","=""7a""","=""""",,"=""826.190""","=""161580""","=""3d10.4s2.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4s2.4p2.(1D)""","=""2P""","=""3/2""",,"=""""","=""L12180""",
"=""62.81""","=""62.85*""","=""9a""","=""""",,"=""0.000""","=""159110""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4s2.4p2.(1D)""","=""2S""","=""1/2""",,"=""""","=""L12180""",
"=""63.22""","=""63.18*""","=""11a""","=""""",,"=""826.190""","=""159110""","=""3d10.4s2.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4s2.4p2.(1D)""","=""2S""","=""1/2""",,"=""""","=""L12180""",
"=""63.33""","=""63.30*""","=""8a""","=""""",,"=""0.000""","=""157990""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4s2.4p2.(3P)""","=""2P""","=""3/2""",,"=""""","=""L12180""",
"=""63.54""","=""63.56*""","=""6a""","=""""",,"=""0.000""","=""157330""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4s2.4p2.(3P)""","=""2P""","=""1/2""",,"=""""","=""L12180""",
"=""63.63""","=""63.63*""","=""5a""","=""""",,"=""826.190""","=""157990""","=""3d10.4s2.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4s2.4p2.(3P)""","=""2P""","=""3/2""",,"=""""","=""L12180""",
"=""63.92""","=""63.90*""","=""6a""","=""""",,"=""826.190""","=""157330""","=""3d10.4s2.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4s2.4p2.(3P)""","=""2P""","=""1/2""",,"=""""","=""L12180""",
"=""65.16""","=""65.2*""","=""4a""","=""""",,"=""826.190""","=""154300""","=""3d10.4s2.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4s2.4p2.(3P)""","=""2D""","=""5/2""",,"=""""","=""L12180""",
"=""65.66""","=""65.61*""","=""0a""","=""""",,"=""0.000""","=""152420""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4s2.4p2.(3P)""","=""2D""","=""3/2""",,"=""""","=""L12180""",
