Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""7s""","=""2S""","=""1/2""","=""""","=""0.000""","=""""","=""""","=""L19486"""
"=""6d""","=""2D""","=""3/2""","=""""","=""12084.2721""","=""""","=""0.0010""","=""L19486"""
"=""6d""","=""2D""","=""5/2""","=""""","=""13742.99""","=""""","=""0.03""","=""L19486"""
"=""7p""","=""2P*""","=""1/2""","=""""","=""21351.3259""","=""""","=""0.0008""","=""L19486"""
"=""7p""","=""2P*""","=""3/2""","=""""","=""26208.8538""","=""""","=""0.0021""","=""L19486"""
"=""8s""","=""2S""","=""1/2""","=""""","=""43405.05""","=""""","=""0.05""","=""L19486"""
"=""7d""","=""2D""","=""3/2""","=""""","=""48744.04""","=""""","=""0.10""","=""L19486"""
"=""7d""","=""2D""","=""5/2""","=""""","=""49240.45""","=""""","=""0.4""","=""L19486"""
"=""5f""","=""2F*""","=""5/2""","=""""","=""48987.86""","=""""","=""0.15""","=""L19486"""
"=""5f""","=""2F*""","=""7/2""","=""""","=""49272.14""","=""""","=""0.16""","=""L19486"""
"=""8p""","=""2P*""","=""1/2""","=""""","=""50606.29""","=""""","=""0.22""","=""L19486"""
"=""8p""","=""2P*""","=""3/2""","=""""","=""52392.02""","=""""","=""0.19""","=""L19486"""
"=""9s""","=""2S""","=""1/2""","=""""","=""59165.3""","=""""","=""0.3""","=""L19486"""
"=""6f""","=""2F*""","=""5/2""","=""""","=""59517""","=""""","=""5""","=""L19486"""
"=""6f""","=""2F*""","=""7/2""","=""""","=""59814""","=""""","=""4""","=""L19486"""
"=""8d""","=""2D""","=""3/2""","=""""","=""61735.0""","=""""","=""0.5""","=""L19486"""
"=""8d""","=""2D""","=""5/2""","=""""","=""61973.8""","=""""","=""0.9""","=""L19486"""
"=""9p""","=""2P*""","=""3/2""","=""""","=""63410.43""","=""""","=""0.21""","=""L19486"""
"=""5g""","=""2G""","=""7/2,9/2""","=""""","=""64150.49""","=""""","=""0.15""","=""L19486"""
"=""7f""","=""2F*""","=""5/2""","=""""","=""66521.85""","=""""","=""0.24""","=""L19486"""
"=""7f""","=""2F*""","=""7/2""","=""""","=""66691.18""","=""""","=""0.4""","=""L19486"""
"=""10s""","=""2S""","=""1/2""","=""""","=""66838.72""","=""""","=""0.22""","=""L19486"""
"=""9d""","=""2D""","=""3/2""","=""""","=""68264.07""","=""""","=""0.21""","=""L19486"""
"=""9d""","=""2D""","=""5/2""","=""""","=""68394.87""","=""""","=""0.23""","=""L19486"""
"=""6g""","=""2G""","=""7/2,9/2""","=""""","=""69560.68""","=""""","=""0.21""","=""L19486"""
"=""11s""","=""2S""","=""1/2""","=""""","=""71172.88""","=""""","=""0.3""","=""L19486"""
"=""10d""","=""2D""","=""3/2""","=""""","=""72043.33""","=""""","=""0.3""","=""L19486"""
"=""10d""","=""2D""","=""5/2""","=""""","=""72123.74""","=""""","=""0.3""","=""L19486"""
"=""7g""","=""2G""","=""7/2,9/2""","=""""","=""72824.21""","=""""","=""0.20""","=""L19486"""
"=""11d""","=""2D""","=""3/2""","=""""","=""74434.30""","=""""","=""0.3""","=""L19486"""
"=""11d""","=""2D""","=""5/2""","=""""","=""74489""","=""""","=""5""","=""L19486"""
"=""8g""","=""2G""","=""7/2,9/2""","=""""","=""74941.76""","=""""","=""0.23""","=""L19486"""
"=""12d""","=""2D""","=""5/2""","=""""","=""76080.68""","=""""","=""0.3""","=""L19486"""
"=""9g""","=""2G""","=""7/2,9/2""","=""""","=""76392.92""","=""""","=""0.21""","=""L19486"""
"=""10g""","=""2G""","=""7/2,9/2""","=""""","=""77431.2""","=""""","=""1.2""","=""L19486"""
"=""11g""","=""2G""","=""7/2,9/2""","=""""","=""78195.1""","=""""","=""2.0""","=""L19486"""
"=""Ra III (6p6 1S<0>)""","=""Limit""","=""---""","=""""","=""81842.5""","=""""","=""0.5""","=""L19486"""
