Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
4d5,a 6S,5/2,6,,0.00,,,,L10502
4d4.(5D).5s,a 6D,1/2,2,,11783.36,,,3.301,
4d4.(5D).5s,a 6D,3/2,4,,12034.06,,,1.847,
4d4.(5D).5s,a 6D,5/2,6,,12417.28,,,1.635,
4d4.(5D).5s,a 6D,7/2,8,,12900.33,,,1.584,
4d4.(5D).5s,a 6D,9/2,10,,13460.70,,,1.543,
4d5,a 4G,5/2,6,,15199.25,,,0.61,
4d5,a 4G,7/2,8,,15330.56,,,,
4d5,a 4G,9/2,10,,15427.73,,,,
4d5,a 4G,11/2,12,,15446.97,,,,
4d5,a 4P,5/2,6,,15691.22,,,1.595,
4d5,a 4P,3/2,4,,15699.16,,,,
4d5,a 4P,1/2,2,,15890.12,,,,
4d5,a 4D,1/2,2,,16796.14,,,0.758,
4d5,a 4D,7/2,8,,16946.78,,,1.404,
4d5,a 4D,3/2,4,,17174.10,,,1.391,
4d5,a 4D,5/2,6,,17344.10,,,1.433,
4d5,a 2D,5/2,6,,22444.36,,,1.082,
4d5,a 2D,3/2,4,,22864.36,,,0.688,
4d5,a 2I,11/2,12,,22980.48,,,,
4d5,a 2I,13/2,14,,23248.19,,,,
4d5,a 4F,9/2,10,,23832.86,,,1.300,
4d5,a 4F,7/2,8,,23853.35,,,1.219,
4d5,a 4F,5/2,6,,23934.36,,,1.018,
4d5,a 4F,3/2,4,,24137.65,,,0.514,
4d4.(5D).5s,b 4D,1/2,2,,24372.12,,,0.058,
4d4.(5D).5s,b 4D,3/2,4,,24659.20,,,1.194,
4d4.(5D).5s,b 4D,5/2,6,,25112.27,,,1.269,
4d4.(5D).5s,b 4D,7/2,8,,25341.58,,,1.387,
4d5,a 2F,7/2,8,,24509.30,,,1.130,
4d5,a 2F,5/2,6,,24836.09,,,1.054,
4d4.(3H).5s,a 4H,7/2,8,,26041.18,,,0.798,
4d4.(3H).5s,a 4H,9/2,10,,26488.15,,,0.984,
4d4.(3H).5s,a 4H,11/2,12,,26739.47,,,1.130,
4d4.(3H).5s,a 4H,13/2,14,,27113.83,,,1.193,
4d5,a 2G,9/2,10,,26068.60,,,1.065,
4d5,a 2G,7/2,8,,26405.61,,,0.785,
4d4.(a 3P).5s,b 4P,1/2,2,,26603.55,,,2.530,
4d4.(a 3P).5s,b 4P,3/2,4,,27627.55,,,1.700,
4d4.(a 3P).5s,b 4P,5/2,6,,29022.12,,,1.574,
4d5,b 2F,7/2,8,,27410.30,,,1.148,
4d5,b 2F,5/2,6,,27878.89,,,0.900,
4d5,a 2H,11/2,12,,27627.00,,,1.086,
4d5,a 2H,9/2,10,,27724.69,,,0.987,
4d4.(a 3F).5s,b 4F,5/2,6,,28876.82,,,1.035,
4d4.(a 3F).5s,b 4F,3/2,4,,28883.69,,,0.529,
4d4.(a 3F).5s,b 4F,7/2,8,,28988.96,,,1.135,
4d4.(a 3F).5s,b 4F,9/2,10,,29034.17,,,1.278,
4d5,a 2S,1/2,2,,28950.36,,,1.968,
4d4.(3G).5s,b 4G,5/2,6,,29699.32,,,0.758,
4d4.(3G).5s,b 4G,7/2,8,,30019.36,,,1.059,
4d4.(3G).5s,b 4G,9/2,10,,30213.46,,,1.192,
4d4.(3G).5s,b 4G,11/2,12,,30391.28,,,1.268,
4d4.(a 3P).5s,a 2P,1/2,2,,32124.04,,,0.672,
4d4.(a 3P).5s,a 2P,3/2,4,,34419.26,,,1.175,
4d5,b 2D,5/2,6,,32879.55,,,1.213,
4d5,b 2D,3/2,4,,33086.28,,,0.889,
4d4.(3H).5s,b 2H,9/2,10,,33045.37,,,0.983,
4d4.(3H).5s,b 2H,11/2,12,,33601.07,,,1.057,
4d4.(a 1G).5s,b 2G,7/2,8,,33146.30,,,0.904,
4d4.(a 1G).5s,b 2G,9/2,10,,33254.46,,,1.043,
4d4.(3D).5s,c 4D,3/2,4,,33525.16,,,1.230,
4d4.(3D).5s,c 4D,7/2,8,,33549.28,,,1.406,
4d4.(3D).5s,c 4D,5/2,6,,33869.72,,,1.323,
