Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3d5""","=""a 6S""","=""5/2""","=""""","=""0.0000""","=""""","=""0.0007""","=""""","=""                                         ""","=""L18847"""
"=""3d4.(5D).4s""","=""a 6D""","=""1/2""","=""""","=""11961.7464""","=""""","=""0.0005""","=""3.323""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 6D""","=""3/2""","=""""","=""12032.5447""","=""""","=""0.0005""","=""1.867""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 6D""","=""5/2""","=""""","=""12147.7713""","=""""","=""0.0005""","=""1.669""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 6D""","=""7/2""","=""""","=""12303.8200""","=""""","=""0.0005""","=""1.578""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 6D""","=""9/2""","=""""","=""12496.4565""","=""""","=""0.0005""","=""1.554""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 4D""","=""1/2""","=""""","=""19528.2293""","=""""","=""0.0005""","=""0.000""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 4D""","=""3/2""","=""""","=""19631.2058""","=""""","=""0.0005""","=""1.192""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 4D""","=""5/2""","=""""","=""19797.8594""","=""""","=""0.0005""","=""1.370""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 4D""","=""7/2""","=""""","=""20024.0117""","=""""","=""0.0005""","=""1.427""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4G""","=""5/2""","=""""","=""20512.0630""","=""""","=""0.0005""","=""0.599""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4G""","=""11/2""","=""""","=""20512.0959""","=""""","=""0.0007""","=""1.278""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4G""","=""7/2""","=""""","=""20517.7920""","=""""","=""0.0005""","=""0.994""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4G""","=""9/2""","=""""","=""20519.2694""","=""""","=""0.0006""","=""1.161""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4P""","=""5/2""","=""""","=""21822.5042""","=""""","=""0.0005""","=""1.590""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4P""","=""1/2""","=""""","=""21823.7200""","=""""","=""0.0005""","=""2.693""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4P""","=""3/2""","=""""","=""21824.1406""","=""""","=""0.0005""","=""1.717""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""b 4D""","=""7/2""","=""""","=""25033.6679""","=""""","=""0.0005""","=""1.432""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""b 4D""","=""1/2""","=""""","=""25035.3437""","=""""","=""0.0008""","=""-0.045""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""b 4D""","=""3/2""","=""""","=""25042.7595""","=""""","=""0.0005""","=""1.207""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""b 4D""","=""5/2""","=""""","=""25046.7144""","=""""","=""0.0005""","=""1.381""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(a 3P).4s""","=""b 4P""","=""1/2""","=""""","=""29951.8162""","=""""","=""0.0010""","=""2.685""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(a 3P).4s""","=""b 4P""","=""3/2""","=""""","=""30307.3672""","=""""","=""0.0006""","=""1.756""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(a 3P).4s""","=""b 4P""","=""5/2""","=""""","=""30864.4328""","=""""","=""0.0005""","=""1.572""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 2I""","=""11/2""","=""""","=""30143.2469""","=""""","=""0.0009""","=""""","=""                                         ""","=""L18847"""
"=""3d5""","=""a 2I""","=""13/2""","=""""","=""30149.8747""","=""""","=""0.0010""","=""""","=""                                         ""","=""L18847"""
"=""3d4.(3H).4s""","=""a 4H""","=""7/2""","=""""","=""30156.7340""","=""""","=""0.0007""","=""0.667""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(3H).4s""","=""a 4H""","=""9/2""","=""""","=""30218.7787""","=""""","=""0.0005""","=""0.978""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(3H).4s""","=""a 4H""","=""11/2""","=""""","=""30298.4679""","=""""","=""0.0007""","=""1.162""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(3H).4s""","=""a 4H""","=""13/2""","=""""","=""30391.8311""","=""""","=""0.0006""","=""1.234""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(a 3F).4s""","=""a 4F""","=""3/2""","=""""","=""31082.8842""","=""""","=""0.0007""","=""0.418""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(a 3F).4s""","=""a 4F""","=""5/2""","=""""","=""31117.3254""","=""""","=""0.0005""","=""1.032""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(a 3F).4s""","=""a 4F""","=""7/2""","=""""","=""31168.5755""","=""""","=""0.0005""","=""1.246""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(a 3F).4s""","=""a 4F""","=""9/2""","=""""","=""31219.3322""","=""""","=""0.0005""","=""1.340""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 2D""","=""5/2""","=""""","=""31350.8736""","=""""","=""0.0013""","=""""","=""                                         ""","=""L18847"""
"=""3d5""","=""a 2D""","=""3/2""","=""""","=""31531.1762""","=""""","=""0.0015""","=""""","=""                                         ""","=""L18847"""
"=""3d5""","=""a 2F""","=""7/2""","=""""","=""32355.6538""","=""""","=""0.0012""","=""""","=""                                         ""","=""L18847"""
"=""3d5""","=""a 2F""","=""5/2""","=""""","=""32603.3491""","=""""","=""0.0012""","=""""","=""                                         ""","=""L18847"""
