obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""89.9916""","=""0.0002""","=""89.991588""","=""0.000004""","=""1300""","=""""",,"=""1872.5998""","=""112994.097""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(5D<4>).5f""","=""2[6]*""","=""11/2""",,"=""""","=""L18349c140""",
"=""92.3878""","=""0.0002""","=""92.387821""","=""0.000004""","=""8000""","=""2.8e+07""",D,"=""0.0000""","=""108239.375""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4D*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""92.6204""","=""0.0002""","=""92.621201""","=""0.000004""","=""9000""","=""2.6e+08""",E,"=""0.0000""","=""107966.642""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""9/2""",,"=""T6892c83""","=""L18349c140""",
"=""92.6898""","=""0.0002""","=""92.689687""","=""0.000004""","=""4000""","=""3.2e+07""",D,"=""0.0000""","=""107886.868""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""92.7172""","=""0.0002""","=""92.717428""","=""0.000004""","=""9000""","=""7.e+07""",E,"=""384.7872""","=""108239.375""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4D*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""92.8110""","=""0.0002""","=""92.811081""","=""0.000004""","=""9000""","=""1.0e+08""",E,"=""384.7872""","=""108130.542""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""5/2""",,"=""T6892c83""","=""L18349c140""",
"=""92.8469""","=""0.0002""","=""92.846583""","=""0.000004""","=""4000""","=""""",,"=""667.6829""","=""108372.239""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d6.(3P2).5p""","=""4S*""","=""3/2""",,"=""""","=""L18349c140""",
"=""92.9523""","=""0.0002""","=""92.952478""","=""0.000004""","=""7000""","=""3.4e+07""",D,"=""384.7872""","=""107966.642""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""9/2""",,"=""T6892c83""","=""L18349c140""",
"=""92.9612""","=""0.0002""","=""92.961260""","=""0.000004""","=""9000""","=""2.8e+07""",D,"=""667.6829""","=""108239.375""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4D*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""93.0023""","=""0.0002""","=""93.002310""","=""0.000004""","=""9000""","=""1.3e+08""",E,"=""667.6829""","=""108191.894""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""3/2""",,"=""T6892c83""","=""L18349c140""",
"=""93.0152""","=""0.0002""","=""93.014926""","=""0.000004""","=""5000""","=""""",,"=""862.6118""","=""108372.239""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d6.(3P2).5p""","=""4S*""","=""3/2""",,"=""""","=""L18349c140""",
"=""93.0214""","=""0.0002""","=""93.021455""","=""0.000004""","=""9000""","=""7.e+07""",E,"=""384.7872""","=""107886.868""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""93.0554""","=""0.0002""","=""93.055406""","=""0.000004""","=""9000""","=""5.e+07""",D,"=""667.6829""","=""108130.542""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""5/2""",,"=""T6892c83""","=""L18349c140""",
"=""93.1142""","=""0.0002""","=""93.114041""","=""0.000004""","=""2300""","=""""",,"=""977.0498""","=""108372.239""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d6.(3P2).5p""","=""4S*""","=""3/2""",,"=""""","=""L18349c140""",
"=""93.2052""","=""0.0002""","=""93.205860""","=""0.000004""","=""9000bl(Fe II)*""","=""""",,"=""3117.4877""","=""110406.879""","=""3d7""","=""a 4F""","=""3/2""","=""3d6.(3F2).5p""","=""4F*""","=""3/2""",,"=""""","=""L18349c140""",
"=""93.2052""","=""0.0002""","=""93.205894""","=""0.000004""","=""9000bl(Fe II)*""","=""""",,"=""384.7872""","=""107674.140""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""9/2""",,"=""""","=""L18349c140""",
"=""93.2244""","=""0.0002""","=""93.224508""","=""0.000004""","=""9000""","=""8.e+07""",E,"=""862.6118""","=""108130.542""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""5/2""",,"=""T6892c83""","=""L18349c140""",
"=""93.2670""","=""0.0002""","=""93.266891""","=""0.000004""","=""6000bl(Fe II)*""","=""3.8e+07""",D,"=""667.6829""","=""107886.868""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""93.2670""","=""0.0002""","=""93.268048""","=""0.000004""","=""6000bl(Fe II)*""","=""""",,"=""0.0000""","=""107217.854""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d6.(5D).6p""","=""6F*""","=""9/2""",,"=""""","=""L18349c140""",
"=""93.2707""","=""0.0002""","=""93.270667""","=""0.000004""","=""8000""","=""8.e+07""",D,"=""977.0498""","=""108191.894""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""3/2""",,"=""T6892c83""","=""L18349c140""",
"=""93.4701""","=""0.0002""","=""93.469389""","=""0.000004""","=""1600""","=""""",,"=""384.7872""","=""107371.685""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(2D1).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""""","=""L18349c140""",
