obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
68.028,0.003,68.020,0.005,146998,170,,,0.000000000,[147016],5s2,1S,0,5s.12p,1P*,1,1,3,,,L1143,
68.654,0.003,68.64185,0.00007,145658,170,,,0.000000000,145683.72,5s2,1S,0,5s.11p,1P*,1,1,3,,,L1143,
69.583,0.027,69.55888,0.00004,143710,180,6.e+05,E,0.000000000,143763.10,5s2,1S,0,5s.10p,1P*,1,1,3,,T9131,L17265,
69.586,0.003,69.58626,0.00004,143707,70,1.0e+05,E,0.000000000,143706.54,5s2,1S,0,5s.10p,3P*,1,1,3,,T9131,L1143,
71.009,0.026,71.000036,0.000020,140830,95,1.5e+06,E,0.000000000,140845.00,5s2,1S,0,5s.9p,1P*,1,1,3,,T9131,L17265,
71.055,0.003,71.055737,0.000020,140736,47,3.1e+05,E,0.000000000,140734.59,5s2,1S,0,5s.9p,3P*,1,1,3,,T9131,L1143,
73.478,0.003,73.47704,0.00005,136095,230,3.6e+07,E,0.000000000,136096.93,5s2,1S,0,5s.8p,1P*,1,1,3,,T7081,L1143,
73.604,0.003,73.60430,0.00003,135862,210,8.e+05,E,0.000000000,135861.62,5s2,1S,0,5s.8p,3P*,1,1,3,,T9131,L1143,
78.398,0.003,78.386296,0.000006,127554,440,,,0.000000000,127573.319,5s2,1S,0,5s.7p,1P*,1,1,3,,,L1143,
78.745,0.003,78.743326,0.000007,126992,1100,1.7e+06,E,0.000000000,126994.890,5s2,1S,0,5s.7p,3P*,1,1,3,,T9131,L1143,
91.090,0.003,91.091090,0.000007,109782,2700,7.e+06,E,0.000000000,109780.221,5s2,1S,0,5s.6p,1P*,1,1,3,,T7081,L1143,
92.727,0.003,92.728257,0.000005,107843,2500,4.9e+06,D+,0.000000000,107841.992,5s2,1S,0,5s.6p,3P*,1,1,3,,T9131,L1143,
,,93.37684,0.00019,107092.94,,1.5e+06,D+,43350.5817,[150443.52],5s.5p,3P*,1,5s.19s,3S,1,3,3,,T9131,,
,,93.59123,0.00019,106847.62,,1.9e+06,D+,43350.5817,[150198.20],5s.5p,3P*,1,5s.18s,3S,1,3,3,,T9131,,
,,93.65492,0.00006,106774.95,,1.5e+06,D+,42275.995245348,149050.95,5s.5p,3P*,0,5s.15s,3S,1,1,3,,T9131,,
93.787,0.003,93.79023,0.00026,106625,610*,,,43350.5817,149971.5,5s.5p,3P*,1,5s.16d,3D,2,3,5,,,L1143,
93.787,0.003,93.79269,0.00021,106625,610*,,,43350.5817,149968.7,5s.5p,3P*,1,5s.16d,3D,1,3,3,,,L1143,
,,93.85571,0.00013,106546.53,,2.5e+06,D+,43350.5817,149897.11,5s.5p,3P*,1,5s.17s,3S,1,3,3,,T9131,,
94.060,0.003,94.06123,0.00018,106315,970,,,42275.995245348,148589.72,5s.5p,3P*,0,5s.13d,3D,1,1,3,,,L1143,
94.187,0.003,94.18556,0.00015,106172,760*,3.2e+06,D+,43350.5817,149523.97,5s.5p,3P*,1,5s.16s,3S,1,3,3,,T9131,L1143,
94.187,0.003,94.19310,0.00006,106172,760*,2.0e+06,D+,42275.995245348,148440.88,5s.5p,3P*,0,5s.14s,3S,1,1,3,,T9131,L1143,
94.481,0.003,94.47713,0.00020,105841,1200,,,43350.5817,[149196.30],5s.5p,3P*,1,5s.14d,1D,2,3,5,,,L1143,
,,94.60705,0.00006,105700.37,,4.2e+06,D+,43350.5817,149050.95,5s.5p,3P*,1,5s.15s,3S,1,3,3,,T9131,,
94.741,0.003,94.73507,0.00007,105551,390,,,42275.995245348,147833.52,5s.5p,3P*,0,5s.12d,3D,1,1,3,,,L1143,
94.917,0.003,94.91393,0.00005,105355,910,2.9e+06,D+,42275.995245348,147634.61,5s.5p,3P*,0,5s.13s,3S,1,1,3,,T9131,L1143,
95.019,0.003,95.01936,0.00016,105242,660,,,43350.5817,148592.29,5s.5p,3P*,1,5s.13d,3D,2,3,5,,,L1143,
95.032,0.003,95.02168,0.00018,105228,670,,,43350.5817,148589.72,5s.5p,3P*,1,5s.13d,3D,1,3,3,,,L1143,
95.127,0.003,95.12487,0.00020,105123,1200,,,43350.5817,[148475.56],5s.5p,3P*,1,5s.14s,1S,0,3,1,,,L1143,
95.159,0.003,95.15626,0.00006,105087,480,5.8e+06,D+,43350.5817,148440.88,5s.5p,3P*,1,5s.14s,3S,1,3,3,,T9131,L1143,
,,95.58926,0.00020,104614.26,,2.4e+06,D+,45829.256,[150443.52],5s.5p,3P*,2,5s.19s,3S,1,5,3,,T9131,,
95.662,0.003,95.65864,0.00013,104535,750*,,,43350.5817,147888.97,5s.5p,3P*,1,5s.12d,1D,2,3,5,,,L1143,
95.662,0.003,95.66036,0.00007,104535,750*,,,42275.995245348,146812.50,5s.5p,3P*,0,5s.11d,3D,1,1,3,,,L1143,
95.728,0.019,95.70687,0.00016,104463,780*,,,43350.5817,147836.29,5s.5p,3P*,1,5s.12d,3D,2,3,5,,,L17265,
95.728,0.019,95.70941,0.00007,104463,780*,,,43350.5817,147833.52,5s.5p,3P*,1,5s.12d,3D,1,3,3,,,L17265,
95.755,0.003,95.75845,0.00017,104433,580*,,,45829.256,[150258.68],5s.5p,3P*,2,5s.17d,3D,3,5,7,,,L1143,
95.755,0.003,95.7591,0.0005,104433,580*,,,45829.256,150258.0,5s.5p,3P*,2,5s.17d,3D,2,5,5,,,L1143,
95.755,0.003,95.7591,0.0005,104433,580*,,,45829.256,150258.0,5s.5p,3P*,2,5s.17d,3D,1,5,3,,,L1143,
,,95.81394,0.00020,104368.94,,3.1e+06,D+,45829.256,[150198.20],5s.5p,3P*,2,5s.18s,3S,1,5,3,,T9131,,
95.906,0.019,95.89196,0.00006,104269,790,9.e+06,D+,43350.5817,147634.61,5s.5p,3P*,1,5s.13s,3S,1,3,3,,T9131,L17265,
,,95.91299,0.00003,104261.16,,4.9e+06,D+,42275.995245348,146537.16,5s.5p,3P*,0,5s.12s,3S,1,1,3,,T9131,,
96.030,0.003,96.02178,0.00018,104134,780*,,,45829.256,149972.30,5s.5p,3P*,2,5s.16d,3D,3,5,7,,,L1143,
96.030,0.003,96.02251,0.00028,104134,780*,,,45829.256,149971.5,5s.5p,3P*,2,5s.16d,3D,2,5,5,,,L1143,
96.030,0.003,96.02509,0.00022,104134,780*,,,45829.256,149968.7,5s.5p,3P*,2,5s.16d,3D,1,5,3,,,L1143,
96.098,0.003,96.09115,0.00014,104060,310,3.9e+06,D+,45829.256,149897.11,5s.5p,3P*,2,5s.17s,3S,1,5,3,,T9131,L1143,
96.433,0.003,96.43693,0.00016,103699,1100,5.0e+06,D+,45829.256,149523.97,5s.5p,3P*,2,5s.16s,3S,1,5,3,,T9131,L1143,
96.664,0.003,96.65136,0.00008,103451,1700*,,,43350.5817,146815.24,5s.5p,3P*,1,5s.11d,3D,2,3,5,,,L1143,
