obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
97.6408,0.0011,97.642011,0.000022,102416.2,160,,,0.000,102414.933,5d9,2D,5/2,5d7.6s.6p,102414*,5/2,6,6,,,L3539c164,
100.7960,0.0011,100.79725,0.00003,99210.3,140,,,0.000,99209.06,5d9,2D,5/2,5d7.6s.6p,99209*,5/2,6,6,,,L3539c164,
101.2858,0.0009,101.28576,0.00004,98730.5,1000,,,4786.6527,103517.21,5d8.6s,4F,9/2,5d7.6s.6p,103517*,7/2,10,8,,,L3539c164,
103.27166,0.00020,103.27179,0.00003,96831.99,2000,,,4786.6527,101618.52,5d8.6s,4F,9/2,5d7.(2H).6s.6p.(3P*),101618*,11/2,10,12,,,L10146,
103.3449,0.0011,103.34579,0.00003,96763.3,80,,,4786.6527,101549.185,5d8.6s,4F,9/2,5d7.6s.6p,101549*,9/2,10,10,,,L3539c164,
103.5685,0.0011,103.56765,0.00003,96554.5,320,,,4786.6527,101341.90,5d8.6s,4F,9/2,5d7.6s.6p,101341*,7/2,10,8,,,L3539c164,
104.03996,0.00020,104.04003,0.00003,96116.92,3500,,,4786.6527,100903.50,5d8.6s,4F,9/2,5d7.6s.6p,100903*,7/2,10,8,,,L10146,
106.2020,0.0011,106.20120,0.00005,94160.1,560,,,9356.3167,103517.21,5d8.6s,4F,7/2,5d7.6s.6p,103517*,7/2,8,8,,,L3539c164,
106.2628,0.0011,106.26198,0.00003,94106.3,930,,,9356.3167,103463.35,5d8.6s,4F,7/2,5d7.6s.6p,103463*,5/2,8,6,,,L3539c164,
106.34761,0.00020,106.347732,0.000023,94031.26,690,,,4786.6527,98817.807,5d8.6s,4F,9/2,5d7.6s.6p,98817*,7/2,10,8,,,L10146,
107.5506,0.0011,107.55224,0.00003,92979.5,93,,,8419.840,101397.91,5d9,2D,3/2,5d7.6s.6p,101397*,5/2,4,6,,,L3539c164,
107.70774,0.00020,107.707604,0.000023,92843.84,3500,,,4786.6527,97630.608,5d8.6s,4F,9/2,5d7.6s.6p,97630*,7/2,10,8,,,L10146,
107.84019,0.00020,107.84023,0.00003,92729.81,1300,,,9356.3167,102086.09,5d8.6s,4F,7/2,5d7.6s.6p,102086*,9/2,8,10,,,L10146,
108.03733,0.00020,108.03723,0.00004,92560.60,4500,,,9356.3167,101917.00,5d8.6s,4F,7/2,5d7.6s.6p,101916*,5/2,8,6,,,L10146,
108.0948,0.0011,108.09479,0.00006,92511.4,120,,,18097.764,110609.16,5d8.6s,2F,7/2,5d7.6s.6p,110609*,9/2,8,10,,,L3539c164,
108.25321,0.00020,108.253306,0.000022,92376.01,840,,,8419.840,100795.772,5d9,2D,3/2,5d7.6s.6p,100795*,3/2,4,4,,,L10146,
108.4693,0.0006,108.469400,0.000025,92192.0,1800,,,8419.840,100611.739,5d9,2D,3/2,5d7.6s.6p,100611*,3/2,4,4,,,L9479c164,
108.64647,0.00020,108.64653,0.00004,92041.65,1900,,,9356.3167,101397.91,5d8.6s,4F,7/2,5d7.6s.6p,101397*,5/2,8,6,,,L10146,
108.71273,0.00020,108.71269,0.00004,91985.55,3400,,,9356.3167,101341.90,5d8.6s,4F,7/2,5d7.6s.6p,101341*,7/2,8,8,,,L10146,
109.5011,0.0006,109.50134,0.00005,91323.3,4200,,,4786.6527,96109.74,5d8.6s,4F,9/2,5d7.(4F).6s.6p,96109*,11/2,10,12,,,L9479c164,
109.6295,0.0006,109.62944,0.00004,91216.3,700,,,16820.9342,108037.31,5d8.6s,4F,5/2,5d7.6s.6p,108037*,7/2,6,8,,,L9479c164,
109.8288,0.0006,109.82834,0.00004,91050.8,600,,,8419.840,99471.02,5d9,2D,3/2,5d7.6s.6p,99471*,1/2,4,2,,,L9479c164,
110.03113,0.00020,110.03137,0.00003,90883.37,460,,,9356.3167,100239.486,5d8.6s,4F,7/2,5d7.6s.6p,100239*,5/2,8,6,,,L10146,
110.5685,0.0004,110.56870,0.00003,90441.6,580,,,9356.3167,99797.827,5d8.6s,4F,7/2,5d7.6s.6p,99797*,5/2,8,6,,,L10146,
110.5715,0.0006,110.57128,0.00007,90439.2,2300,,,4786.6527,95226.05,5d8.6s,4F,9/2,5d7.6s.6p,95226*,9/2,10,10,,,L9479c164,
110.8944,0.0006,110.89470,0.00006,90175.9,480,,,16820.9342,106996.57,5d8.6s,4F,5/2,5d8.7p,106996*,7/2,6,8,,,L9479c164,
