obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
76.4381,,130824.8,1,,,,,,,,,,,1,1,,,"L16370,L3304",
81.4793,,122730.6,1,,,,,,,,,,,1,1,,,"L16370,L3304",
84.939,,117732,1,,,,,,,,,,,1,1,,,L3304,
85.4625,,117010.4,2,,,,,,,,,,,1,1,,,"L16370,L3304",
87.6796,87.6795+,114051.6,4,,,0.0,114051.7,5s2.5p2,3P,0,5s2.5p.8s,3P*,1,1,3,,,"L16325,L3304",
92.1049,,108571.9,4,,,,,,,,,,,1,1,,,"L16325,L3304",
98.3592,98.3593+,101668.2,6,,,3054.6,104722.7,5s2.5p2,3P,1,5s2.5p.6d,3D*,2,3,5,,,"L16325,L3304",
100.1144,,99885.7,6,,,,,,,,,,,1,1,,,"L16370,L3304",
100.9442,100.9443+,99064.6,6,,,5658.2,104722.7,5s2.5p2,3P,2,5s2.5p.6d,3D*,2,5,5,,,"L16325,L3304",
105.2236,105.2235+,95035.7,6,,,12789.8,107825.6,5s2.5p2,1D,2,5s2.5p.7s,3P*,2,5,5,,,"L16325,L3304",
105.6228,105.6226+,94676.5,8,,,12789.8,107466.5,5s2.5p2,1D,2,5s.5p3,1P*,1,5,3,,,"L16325,L3304",
105.7276,105.7276+,94582.7,8,,,3054.6,97637.3,5s2.5p2,3P,1,5s.5p3,3S*,1,3,3,,,"L16325,L3304",
107.3828,,93124.8,6,,,,,,,,,,,1,1,,,"L16370,L3304",
123.0236,123.0238+,81285.2,6,,,23905.5,105190.6,5s2.5p2,1S,0,5s2.5p.6d,3D*,1,1,3,,,"L16325,L3304",
127.4670,127.4673+,78451.7,8,,,12789.8,91241.3,5s2.5p2,1D,2,5s2.5p.5d,3P*,2,5,5,,,"L16325,L3304",
127.4938,127.4938+,78435.2,8,,,12789.8,91225.0,5s2.5p2,1D,2,5s2.5p.5d,1F*,3,5,7,,,"L16325,L3304",
132.7378,132.7381+,75336.5,8,,,3054.6,78390.9,5s2.5p2,3P,1,5s.5p3,3P*,2,3,5,,,"L16325,L3304",
135.8009,135.801+,73637.2,6,,,3054.6,76691.8,5s2.5p2,3P,1,5s2.5p.5d,3F*,2,3,5,,,"L16325,L3304",
138.4656,138.466+,72220.1,8,1.1e+08,,3054.6,75274.5,5s2.5p2,3P,1,5s2.5p.6s,3P*,2,3,5,,T7227,"L16325,L3304",
140.7784,140.778+,71033.6,6,,,5658.2,76691.8,5s2.5p2,3P,2,5s2.5p.5d,3F*,2,5,5,,,"L16325,L3304",
143.6447,143.645+,69616.2,8,5.2e+08,,5658.2,75274.5,5s2.5p2,3P,2,5s2.5p.6s,3P*,2,5,5,,T7227,"L16325,L3304",
156.5501,156.550+,63877.3,6,,,5658.2,69535.7,5s2.5p2,3P,2,5s2.5p.6s,3P*,1,5,3,,,"L16325,L3304",
157.6099,157.610+,63447.8,8,,,3054.6,66502.3,5s2.5p2,3P,1,5s.5p3,3D*,2,3,5,,,"L16325,L3304",
158.1353,158.135+,63237.0,7,,,3054.6,66291.6,5s2.5p2,3P,1,5s.5p3,3D*,1,3,3,,,"L16325,L3304",
160.6952,160.696+,62229.6,10,,,5658.2,67887.5,5s2.5p2,3P,2,5s.5p3,3D*,3,5,7,,,"L16325,L3304",
165.7036,165.736+,60348.7,20,,,51722.9,112060.0,5s.5p3,5S*,2,5s2.5p.4f,1D,2,5,5,,,L3304,
173.6469,,57588.1,8,,,,,,,,,,,1,1,,,"L16370,L3304",
199.017,199.022+,50247,1,,,77139.4,127385.2,5s.5p3,3P*,1,5s.5p2.(4P).6s,3P,1,3,3,,,"L16370,L3304",
199.034,199.035+,50243,6,,,77139.4,127381.9,5s.5p3,3P*,1,5s.5p2.(4P).6s,3P,0,3,1,,,"L16370,L3304",
214.247,214.243+,46675.0,10,,,66291.6,112967.5,5s.5p3,3D*,1,5s2.5p.4f,3D,2,3,5,,,"L3304,L16370",
222.584,,44926.8,6,,,,,,,,,,,1,1,,,"L3304,L16370",
248.121,248.153+,40302.9,8,,,76857.8,117155.6,5s.5p3,3P*,0,5s2.5p.8p,1P,1,1,3,,,"L3304,L16370",
252.9295,252.925+,39536.70,15,,,72389.7,111927.1,5s2.5p.5d,1D*,2,5s2.5p.4f,3D,3,5,7,,,"L3304,L16370",
256.8523,256.851+,38932.87,10,,,12789.8,51722.9,5s2.5p2,1D,2,5s.5p3,5S*,2,5,5,,,"L3304,L16370",
